,Questions,Correct,A,B,C,D
0,"What Hollywood actor portrayed Casanova in the 2005 movie entitled Casanova, based on the life of the popular adventurer?
",Heath Ledger,Johnny Depp,Antonio Banderas,Heath Ledger,Ryan Phillippe
1,"Which of these is NOT a son of Adam and Eve?
",Enoch,Enoch,Cain,Abel,Seth
2,"Noah sent these two birds out of the ark to search for land:
",raven and dove,raven and hawk,hawk and jay,raven and dove,dove and hawk
3,"Jacob had 12 sons.  Which of his wives/maids bore the most babies?
",Leah,Zilpah,Leah,Rachel,Bilhah
4,"Which of these animals did the Israelites worship while Moses was on the mountain?
",calf,bull,calf,duck,ram
5,"Many of King Solomons wise sayings are recorded in Book 10 of Proverbs.  Which of these is NOT found there?
","When you see trouble coming, dont be stupid and walk right into it--be smart and hide.","When you see trouble coming, dont be stupid and walk right into it--be smart and hide.","Good people are remembered long after they are gone, but the wicked are soon forgotten.","Children with good sense make their parents happy, but foolish children make them sad.",You will say the wrong thing if you talk too much--so be sensible and watch what you say.
6,"Mary was visited by this angel.
",Gabriel,Uriel,Raphael,Gabriel,Michael
7,"Jesus was fond of using parables to give his messages.  Which of these was NOT one he used?
",The Parable of the Old Men and the Young,The Parable of the Mustard Seed,The Parable of the Old Men and the Young,The Parable of the Prodigal Son,The Parable of the Ten Servants
8,"Which of the Horsemen of the Apocalypse is the first to be called out?
",White Horse (Conquest ),Black Horse (Famine),Red Horse (War),White Horse (Conquest ),Pale/Green Horse (Death)
9,"Complete the following quote from Matthew 5:3: Blessed are the poor in spirit, for ________
",theirs is the Kindgom of Heaven.,they shall be comforted.,shall be called children of God.,they shall see Heaven.,theirs is the Kindgom of Heaven.
10,"Who wrote the first five books of the Bible?
",Moses,Adam,Joseph,Moses,Abraham
11,"In the Bible, how many wives and concubines did Solomon have?
",1000,2000,500,1000,100
12,"Who wrote most of the books in the New Testament?
",Paul,David,John,Peter,Paul
13,"Who wrote the Book of Revelation while in exile?
",John,Paul,Peter,James,John
14,"According to the accepted theory, how old was Jesus when He was crucified?
",33,33,27,40,30
15,"How old was Jesus when He performed His first miracle (Biblical, not Apocriphal)?
",30,40,33,27,30
16,"David, the famous ancient King of Israel, was the oldest child in the family.
",False,True,False,,
17,"It is stated in the Bible that God told Moses to build the Temple in Jerusalem.
",False,True,False,,
18,"According to the New Testament, who obtained permission to take Jesus Christs body down from the cross and place it in the tomb?
",Joseph of Arimathea,Joseph of Arimathea,Joseph of Antioch,Mary Magdalene,Apostle Peter
19,"Apostle Paul was a kind, friendly and peace-loving man who always helped Christians even before his conversion to Christianity.
",False,False,True,,
20,"Seven people went on the ark with Noah according to the Bible, Genesis, chapters 6 to 9.
",True,True,False,,
21,"What was the profession of Luke the Apostle according to the New Testament?
",Physician,Tax collector,Carpenter,Physician,Boat builder
22,"Who committed the first murder in the Bible?
",Cain,Cain,Solomon,Adam,Abel
23,"Who was Gods son according to the Bible?
",Jesus,John,Peter,Solomon,Jesus
24,"What is the name of the angel that God sent to tell Mary she was to conceive Jesus?
",Gabriel,Abraham,Gabriel,Michael,Peter
25,"Who was Jesus earthly father according to the Bible?
",Joseph,Solomon,Joseph,no one,David
26,"Which of the following is not generally considered one of the seven deadly sins?
",obfuscation,obfuscation,hatred,lust,envy
27,"According to Matthew and Luke, in what city was Jesus born?
",Bethlehem,Jerusalem,Bethlehem,Babylon,Nazareth
28,"Can a deacon get married?
",Yes,No,Yes,,
29,"You drink the coffee and turn the cup upside down.  The reader predicts the future, deciphering various patterns formed inside the cup.
",Tasseomancy,Hakata,Scrying,I Ching,Tasseomancy
30,"This is a deck of 78 cards with pictures and inscriptions on them. They are divided into several suits and the person extracts cards that the reader interprets.
",Tarot,Tarot,Cartopedy,Belote,Cledonism
31,"This method of divination uses air and water. The person covers their head with a cloth, fill a vase with water and expose it to the air.  They whisper a wish over the vase. If bubbles show on the water surface, this is considered a positive sign and the wish will probably come true.
",Eromancy,Water scrying,Critomancy,Dowsing,Eromancy
32,"This method includes hexagrams which consist of six lines either solid or broken. Solid lines are considered strong and active, and broken lines stand for weak and acquiescent. These lines define the meaning of the hexagrams. Each hexagram has a different meaning. You determine your own hexagram by tossing 3 coins 3 times.
",I Ching,Tarot,I Ching,Aura information,Astrology
33,"This method of divination uses a set of 24 alphabet letters that are usually carved on small tiles, so that the person could extract one of all 24 and to interpret its meaning. They were also carved and drawn building walls for protection.
",Runes,Runes,Tarot,Palm reading,Shell scrying
34,"This is the careful screening of your palm, its shapes and lines in order to guess some events from the past and see events in the future.
",Palmistry,Palmistry,Cledonism,Tasseomancy,Cartopedy
35,"This method uses climate conditions to predict the future. It was considered that climate is the attitude of gods towards men, and that each atmospheric event had its own meaning.
",Aeromancy,Cephalomancy,Aeromancy,Graphology,Bibliomancy
